Vino_ID;fixed acidity;volatile acidity;residual sugar;chlorides;total sulfur dioxide;density;alcohol;quality
Vino_1270;8.4;0.35;13.8;0.048;190.0;0.9993;9.4;6
Vino_1271;8.0;0.22;14.6;0.044;163.0;1.0003;8.6;7
Vino_1272;8.1;0.5;1.1;0.037;126.0;0.9938;10.9;5
Vino_1273;7.0;0.39;5.3;0.169;162.0;0.9965;9.4;5
Vino_1274;8.1;0.5;1.1;0.037;126.0;0.9938;10.9;5
Vino_1275;8.4;0.35;13.8;0.048;190.0;0.9993;9.4;6
Vino_1276;6.2;0.22;1.5;0.064;132.0;0.9938;9.2;6
Vino_1277;8.0;0.22;14.6;0.044;163.0;1.0003;8.6;7
Vino_1278;7.6;0.31;10.5;0.04;145.0;0.9966;9.4;5
Vino_1279;7.0;0.24;4.9;0.083;133.0;0.9942;10.8;6
Vino_1280;6.6;0.27;1.9;0.025;153.0;0.9928;10.5;6
Vino_1281;7.8;0.16;1.7;0.026;140.0;0.991;12.5;6
Vino_1282;7.7;0.27;1.8;0.028;168.0;0.9911;12.1;7
Vino_1283;7.4;0.31;10.7;0.039;147.0;0.9977;8.7;5
Vino_1284;8.0;0.45;8.8;0.026;151.0;0.9927;12.7;8
Vino_1285;7.7;0.27;1.8;0.028;168.0;0.9911;12.1;7
Vino_1286;7.8;0.16;1.7;0.026;140.0;0.991;12.5;6
Vino_1287;6.6;0.16;1.8;0.05;147.0;0.9912;11.4;7
Vino_1288;8.3;0.21;1.6;0.032;110.0;0.9907;12.9;7
Vino_1289;7.2;0.32;1.4;0.029;109.0;0.9902;12.8;7
Vino_1290;6.6;0.16;1.6;0.034;78.0;0.992;11.2;6
Vino_1291;8.4;0.16;1.5;0.033;98.0;0.994;9.7;6
Vino_1292;7.5;0.23;9.2;0.038;191.0;0.9966;9.7;6
Vino_1293;6.2;0.17;1.1;0.037;79.0;0.993;10.3;6
Vino_1294;6.9;0.39;4.3;0.03;102.0;0.993;11.6;4
Vino_1295;6.9;0.41;4.2;0.031;102.0;0.993;11.6;4
Vino_1296;7.5;0.23;9.2;0.038;191.0;0.9966;9.7;6
Vino_1297;7.5;0.38;5.0;0.045;131.0;0.9942;10.9;6
Vino_1298;7.3;0.42;6.8;0.045;122.0;0.9925;12.6;7
Vino_1299;7.3;0.34;5.2;0.04;163.0;0.9925;12.4;6
Vino_1300;7.8;0.23;4.75;0.042;166.0;0.9928;11.5;5
Vino_1301;9.0;0.245;5.9;0.045;159.0;0.995;10.2;6
Vino_1302;6.9;0.2;7.7;0.032;176.0;0.9939;11.4;5
Vino_1303;7.4;0.19;6.4;0.067;212.0;0.9958;9.6;6
Vino_1304;8.2;0.2;8.1;0.035;163.0;0.9952;10.3;6
Vino_1305;8.0;0.59;17.35;0.038;228.0;1.0;9.3;5
Vino_1306;7.9;0.14;1.8;0.05;114.0;0.9948;10.7;7
Vino_1307;6.8;0.24;1.8;0.047;105.0;0.99;12.8;8
Vino_1308;9.7;0.14;1.5;0.049;142.0;0.9958;9.5;5
Vino_1309;9.2;0.15;1.6;0.046;130.0;0.9948;10.4;6
Vino_1310;9.4;0.17;1.6;0.049;94.0;0.9949;10.3;6
Vino_1311;5.2;0.365;13.5;0.041;142.0;0.997;9.9;6
Vino_1312;6.3;0.23;3.75;0.039;116.0;0.9927;10.7;6
Vino_1313;9.6;0.25;1.3;0.04;160.0;0.9938;10.5;5
Vino_1314;9.2;0.32;1.3;0.046;186.0;0.9949;9.6;5
Vino_1315;6.4;0.31;6.2;0.04;169.0;0.9953;9.3;6
Vino_1316;8.1;0.2;9.7;0.044;162.0;0.997;10.0;6
Vino_1317;7.9;0.255;2.0;0.026;190.0;0.9932;11.2;6
Vino_1318;7.0;0.15;1.4;0.039;177.0;0.9927;10.8;5
Vino_1319;6.4;0.15;1.1;0.044;96.0;0.9932;10.3;6
Vino_1320;6.4;0.25;6.6;0.038;234.0;0.9955;8.8;5
Vino_1321;7.6;0.19;1.5;0.044;114.0;0.9914;12.8;6
Vino_1322;7.3;0.43;4.6;0.028;114.0;0.991;13.2;6
Vino_1323;5.1;0.31;0.9;0.037;152.0;0.992;10.1;6
Vino_1324;6.2;0.2;1.7;0.093;161.0;0.9924;11.0;5
Vino_1325;6.9;0.16;1.3;0.043;182.0;0.9927;10.8;6
Vino_1326;7.7;0.32;2.3;0.04;114.0;0.9911;12.8;7
Vino_1327;6.5;0.22;6.8;0.042;168.0;0.9958;9.2;6
Vino_1328;6.8;0.26;1.5;0.047;167.0;0.9928;10.5;6
Vino_1329;5.2;0.37;1.2;0.028;81.0;0.9902;11.7;6
Vino_1330;8.4;0.19;2.1;0.052;104.0;0.994;9.5;5
Vino_1331;8.3;0.21;2.2;0.05;108.0;0.994;9.5;5
Vino_1332;6.8;0.15;8.8;0.058;110.0;0.9972;8.8;6
Vino_1333;7.9;0.16;17.0;0.05;210.0;1.0004;9.3;7
Vino_1334;7.8;0.21;1.8;0.034;180.0;0.991;12.6;8
Vino_1335;9.0;0.24;1.2;0.048;107.0;0.9918;12.4;6
Vino_1336;5.7;0.21;2.3;0.047;189.0;0.995;10.1;6
Vino_1337;7.8;0.29;7.0;0.042;161.0;0.9941;11.2;8
Vino_1338;6.7;0.18;6.4;0.048;251.0;0.9956;10.0;5
Vino_1339;6.7;0.18;6.4;0.048;251.0;0.9956;10.0;5
Vino_1340;8.4;0.58;12.15;0.033;116.0;0.9959;10.8;6
Vino_1341;7.2;0.16;0.8;0.04;121.0;0.9922;10.0;6
Vino_1342;7.6;0.54;2.0;0.029;151.0;0.9931;10.4;5
Vino_1343;8.4;0.58;12.15;0.033;116.0;0.9959;10.8;6
Vino_1344;6.6;0.25;12.4;0.059;181.0;0.9984;9.8;6
Vino_1345;7.3;0.23;1.9;0.041;165.0;0.9908;12.2;8
Vino_1346;7.3;0.39;1.1;0.043;113.0;0.991;12.7;8
Vino_1347;7.0;0.46;6.2;0.039;163.0;0.9928;12.2;7
Vino_1348;8.2;0.35;6.3;0.039;162.0;0.9936;11.9;7
Vino_1349;7.8;0.29;7.0;0.042;161.0;0.9941;11.2;8
Vino_1350;9.2;0.35;0.9;0.042;61.0;0.9924;10.4;4
Vino_1351;8.0;0.57;3.9;0.034;122.0;0.9917;12.8;7
Vino_1352;6.5;0.37;3.9;0.027;130.0;0.9906;12.7;7
Vino_1353;5.7;0.21;2.3;0.047;189.0;0.995;10.1;6
Vino_1354;6.7;0.18;6.4;0.048;251.0;0.9956;10.0;5
Vino_1355;7.8;0.13;1.8;0.04;179.0;0.9955;9.0;5
Vino_1356;7.6;0.19;1.1;0.04;143.0;0.9907;11.4;5
Vino_1357;7.3;0.22;15.4;0.05;191.0;1.0;8.9;6
Vino_1358;6.3;0.29;6.5;0.039;167.0;0.9953;9.3;6
Vino_1359;6.8;0.35;2.4;0.048;103.0;0.9911;12.0;8
Vino_1360;6.5;0.19;1.4;0.04;132.0;0.9922;10.8;7
Vino_1361;6.2;0.12;5.7;0.044;158.0;0.9951;10.5;6
Vino_1362;6.0;0.13;5.7;0.038;189.5;0.9948;10.6;7
Vino_1363;6.4;0.25;1.4;0.04;115.0;0.9906;11.3;7
Vino_1364;6.9;0.32;1.4;0.051;96.0;0.994;9.5;4
Vino_1365;7.6;0.19;1.1;0.04;143.0;0.9907;11.4;5
Vino_1366;6.7;0.13;1.2;0.046;140.0;0.9927;10.1;7
Vino_1367;7.0;0.14;0.9;0.037;95.0;0.9914;10.9;6
Vino_1368;7.6;0.27;3.8;0.058;115.0;0.9958;8.9;5
Vino_1369;7.3;0.22;15.4;0.05;191.0;1.0;8.9;6
Vino_1370;7.4;0.64;14.15;0.168;185.0;0.9984;9.3;5
Vino_1371;7.6;0.28;1.9;0.052;116.0;0.9941;10.4;6
Vino_1372;8.3;0.26;9.2;0.042;162.0;0.9944;12.0;7
Vino_1373;10.7;0.22;8.2;0.044;181.0;0.998;9.5;6
Vino_1374;10.7;0.22;8.2;0.044;181.0;0.998;9.5;6
Vino_1375;6.9;0.23;2.7;0.032;121.0;0.9902;12.4;7
Vino_1376;6.2;0.3;1.7;0.032;130.0;0.9911;11.2;7
Vino_1377;6.9;0.27;1.7;0.047;134.0;0.9929;11.4;6
Vino_1378;6.9;0.28;1.7;0.05;136.0;0.993;11.4;6
Vino_1379;6.9;0.28;1.6;0.047;132.0;0.9918;11.1;7
Vino_1380;6.9;0.46;0.9;0.054;126.0;0.992;10.4;6
Vino_1381;6.9;0.38;8.5;0.044;152.0;0.9932;12.0;7
Vino_1382;5.7;0.43;5.7;0.039;98.0;0.992;12.3;7
Vino_1383;6.6;0.56;3.1;0.045;92.0;0.994;9.1;6
Vino_1384;7.1;0.36;1.3;0.046;102.0;0.9923;10.5;6
Vino_1385;6.8;0.23;1.6;0.047;133.0;0.993;11.4;6
Vino_1386;6.2;0.33;1.3;0.042;138.0;0.9956;9.5;5
Vino_1387;5.6;0.49;4.5;0.039;116.0;0.9907;13.7;7
Vino_1388;6.6;0.42;2.8;0.034;85.0;0.99;13.4;6
Vino_1389;7.3;0.18;1.2;0.044;143.0;0.9918;11.3;7
Vino_1390;8.1;0.19;0.9;0.037;180.0;0.9926;10.0;6
Vino_1391;5.9;0.19;7.4;0.034;123.0;0.995;10.1;6
Vino_1392;6.2;0.16;1.4;0.029;81.0;0.99;12.2;6
Vino_1393;6.6;0.42;2.8;0.034;85.0;0.99;13.4;6
Vino_1394;5.7;0.135;4.6;0.042;101.0;0.9946;9.3;6
Vino_1395;5.6;0.49;4.5;0.039;116.0;0.9907;13.7;7
Vino_1396;6.9;0.19;1.6;0.039;98.0;0.9898;12.3;7
Vino_1397;7.3;0.18;1.2;0.044;143.0;0.9918;11.3;7
Vino_1398;7.3;0.25;13.1;0.05;200.0;0.9986;8.9;7
Vino_1399;7.3;0.25;13.1;0.05;200.0;0.9986;8.9;7
Vino_1400;7.0;0.2;5.7;0.035;83.0;0.9928;11.5;6
Vino_1401;7.3;0.25;13.1;0.05;200.0;0.9986;8.9;7
Vino_1402;6.3;0.67;12.6;0.052;222.0;0.9979;9.3;6
Vino_1403;7.4;0.4;5.4;0.044;122.0;0.994;11.1;8
Vino_1404;7.1;0.26;2.2;0.044;128.0;0.9937;10.9;8
Vino_1405;9.0;0.31;6.6;0.043;73.0;0.9938;11.6;5
Vino_1406;6.3;0.39;6.9;0.069;117.0;0.9942;10.2;4
Vino_1407;8.2;0.22;6.8;0.034;90.0;0.9944;10.5;8
Vino_1408;7.1;0.19;3.6;0.033;78.0;0.993;11.4;6
Vino_1409;7.3;0.25;13.1;0.05;200.0;0.9986;8.9;7
Vino_1410;7.9;0.2;1.2;0.04;118.0;0.9932;10.6;6
Vino_1411;7.1;0.26;5.9;0.037;97.0;0.9934;11.6;6
Vino_1412;7.0;0.2;5.7;0.035;83.0;0.9928;11.5;6
Vino_1413;6.9;0.3;4.1;0.035;155.0;0.9925;12.3;8
Vino_1414;8.1;0.29;7.1;0.042;124.0;0.9944;10.8;6
Vino_1415;5.8;0.17;1.4;0.037;130.0;0.9909;11.3;6
Vino_1416;5.9;0.415;0.8;0.038;63.0;0.9932;9.3;5
Vino_1417;6.6;0.23;1.3;0.045;128.0;0.9934;10.0;6
Vino_1418;8.6;0.55;15.55;0.057;366.5;1.0001;11.0;3
Vino_1419;6.9;0.35;1.0;0.044;132.0;0.992;10.2;5
Vino_1420;7.6;0.14;1.6;0.04;103.0;0.9916;10.8;7
Vino_1421;9.2;0.28;11.8;0.042;137.0;0.998;10.1;4
Vino_1422;6.2;0.18;4.5;0.047;90.0;0.9919;11.6;6
Vino_1423;5.3;0.165;1.1;0.051;105.0;0.9925;9.1;5
Vino_1424;9.8;0.25;10.0;0.056;225.0;0.9977;10.0;4
Vino_1425;8.1;0.29;7.1;0.042;124.0;0.9944;10.8;6
Vino_1426;6.8;0.22;0.9;0.052;128.0;0.991;11.4;6
Vino_1427;7.2;0.22;1.0;0.045;140.0;0.99;12.7;6
Vino_1428;7.4;0.25;1.1;0.042;156.0;0.9917;11.3;5
Vino_1429;8.2;0.18;1.1;0.033;81.0;0.9923;10.4;7
Vino_1430;6.1;0.22;1.5;0.051;87.0;0.9928;9.6;5
Vino_1431;7.0;0.39;1.0;0.048;119.0;0.9923;10.1;4
Vino_1432;6.1;0.22;1.5;0.051;87.0;0.9928;9.6;5
Vino_1433;6.5;0.36;2.9;0.03;94.0;0.9902;12.1;7
Vino_1434;7.1;0.29;1.2;0.031;99.0;0.9893;12.2;6
Vino_1435;7.4;0.25;1.1;0.042;156.0;0.9917;11.3;5
Vino_1436;6.9;0.23;14.2;0.053;94.0;0.9982;9.6;5
Vino_1437;8.5;0.56;17.85;0.051;243.0;1.0005;9.2;5
Vino_1438;8.2;0.18;1.1;0.033;81.0;0.9923;10.4;7
Vino_1439;6.3;0.23;7.1;0.05;210.0;0.9951;9.5;5
Vino_1440;6.1;0.25;7.6;0.052;226.0;0.9956;8.9;5
Vino_1441;7.2;0.26;13.6;0.05;162.0;0.998;8.8;5
Vino_1442;7.2;0.31;1.4;0.057;117.0;0.9928;10.5;5
Vino_1443;8.0;0.25;1.2;0.061;117.0;0.9938;9.4;5
Vino_1444;7.0;0.18;5.3;0.04;125.0;0.9914;12.2;6
Vino_1445;7.8;0.43;13.0;0.033;158.0;0.9955;11.3;6
Vino_1446;8.3;0.2;4.45;0.044;130.0;0.9924;12.2;6
Vino_1447;6.3;0.27;1.2;0.063;92.0;0.9911;12.2;6
Vino_1448;7.4;0.16;1.2;0.055;150.0;0.9917;11.2;6
Vino_1449;7.4;0.16;1.2;0.055;150.0;0.9917;11.2;6
Vino_1450;6.9;0.19;6.6;0.036;172.0;0.9932;11.5;6
Vino_1451;7.8;0.43;13.0;0.033;158.0;0.9955;11.3;6
Vino_1452;7.2;0.4;1.1;0.048;138.0;0.9929;9.3;5
Vino_1453;7.8;0.43;13.0;0.033;158.0;0.9955;11.3;6
Vino_1454;7.6;0.52;14.0;0.034;156.0;0.9958;11.8;7
Vino_1455;8.3;0.21;19.8;0.054;231.0;1.0012;9.2;5
Vino_1456;6.9;0.34;11.2;0.069;150.0;0.9968;9.2;5
Vino_1457;6.3;0.27;1.2;0.063;92.0;0.9911;12.2;6
Vino_1458;8.3;0.2;4.45;0.044;130.0;0.9924;12.2;6
Vino_1459;7.1;0.22;2.7;0.044;144.0;0.991;12.2;6
Vino_1460;7.9;0.11;4.5;0.048;133.0;0.9946;10.6;6
Vino_1461;8.5;0.17;3.6;0.05;128.0;0.9928;12.4;6
Vino_1462;6.4;0.145;5.4;0.048;164.0;0.9946;10.8;6
Vino_1463;7.4;0.16;1.2;0.055;150.0;0.9917;11.2;6
Vino_1464;8.3;0.19;1.2;0.051;137.0;0.9918;11.0;6
Vino_1465;8.0;0.44;9.1;0.031;151.0;0.9926;12.7;8
Vino_1466;7.0;0.2;0.8;0.044;163.0;0.9931;10.2;5
Vino_1467;6.9;0.19;6.6;0.036;172.0;0.9932;11.5;6
Vino_1468;7.1;0.25;3.0;0.03;96.0;0.9903;12.3;7
Vino_1469;6.5;0.24;1.6;0.046;60.0;0.9928;9.8;5
Vino_1470;7.2;0.4;1.1;0.048;138.0;0.9929;9.3;5
Vino_1471;7.6;0.52;14.0;0.034;156.0;0.9958;11.8;7
Vino_1472;7.8;0.43;13.0;0.033;158.0;0.9955;11.3;6
Vino_1473;7.8;0.21;1.35;0.052;48.0;0.9911;11.4;5
Vino_1474;7.0;0.2;5.9;0.038;128.0;0.9938;10.8;6
Vino_1475;6.9;0.25;3.6;0.057;85.0;0.9942;9.5;4
Vino_1476;7.2;0.08;1.3;0.05;148.0;0.9945;10.2;6
Vino_1477;7.1;0.85;8.7;0.028;184.0;0.9962;10.7;5
Vino_1478;7.6;0.51;1.2;0.04;104.0;0.992;10.8;6
Vino_1479;7.9;0.22;4.6;0.044;159.0;0.9927;11.5;6
Vino_1480;7.7;0.16;2.0;0.056;124.0;0.9948;10.7;6
Vino_1481;7.2;0.08;1.3;0.05;148.0;0.9945;10.2;6
Vino_1482;6.6;0.25;1.7;0.048;124.0;0.9942;10.1;6
Vino_1483;6.7;0.16;2.4;0.046;187.0;0.9952;10.4;6
Vino_1484;6.9;0.25;3.6;0.057;85.0;0.9942;9.5;4
Vino_1485;7.5;0.32;4.6;0.053;134.0;0.9958;9.1;3
Vino_1486;7.4;0.28;1.5;0.034;126.0;0.9918;10.6;6
Vino_1487;6.2;0.15;0.9;0.033;51.0;0.9932;9.4;6
Vino_1488;6.7;0.25;19.4;0.054;169.0;1.0004;9.8;6
Vino_1489;6.5;0.26;13.3;0.044;224.0;0.9972;9.5;6
Vino_1490;7.9;0.16;17.85;0.037;187.0;0.9998;9.3;5
Vino_1491;5.6;0.185;1.1;0.03;117.0;0.9918;10.3;6
Vino_1492;7.5;0.2;1.3;0.031;97.0;0.9918;11.1;5
Vino_1493;8.0;0.3;9.4;0.046;188.0;0.9964;10.0;5
Vino_1494;8.0;0.34;9.0;0.033;180.0;0.9936;12.3;8
Vino_1495;7.7;0.35;8.65;0.033;186.0;0.9931;12.4;8
Vino_1496;7.6;0.29;9.6;0.03;197.0;0.9938;12.3;7
Vino_1497;6.7;0.62;1.1;0.039;62.0;0.9934;10.4;5
Vino_1498;6.8;0.27;1.2;0.044;126.0;0.99;12.1;7
Vino_1499;7.7;0.27;1.8;0.041;86.0;0.9914;12.5;6
Vino_1500;6.7;0.51;2.1;0.043;155.0;0.9904;13.0;6
Vino_1501;7.4;0.19;9.3;0.03;132.0;0.994;11.0;7
Vino_1502;8.3;0.2;1.7;0.04;169.0;0.9938;10.1;5
Vino_1503;6.6;0.3;1.2;0.034;121.0;0.9933;9.2;5
Vino_1504;6.8;0.36;4.6;0.039;124.0;0.9909;12.6;7
Vino_1505;7.0;0.17;12.8;0.045;126.0;0.9942;12.2;8
Vino_1506;9.2;0.18;1.5;0.041;130.0;0.9945;9.8;7
Vino_1507;8.1;0.2;8.1;0.051;205.0;0.9954;11.0;6
Vino_1508;7.8;0.26;7.5;0.044;160.0;0.996;10.0;6
Vino_1509;6.8;0.21;14.5;0.06;170.0;0.9991;9.8;6
Vino_1510;7.9;0.2;1.6;0.053;144.0;0.993;10.5;5
Vino_1511;8.0;0.18;1.8;0.061;145.0;0.9942;10.0;5
Vino_1512;8.8;0.23;3.2;0.042;126.0;0.9934;11.2;6
Vino_1513;7.3;0.22;9.4;0.034;134.0;0.9939;11.0;7
Vino_1514;7.3;0.22;9.9;0.031;161.0;0.9937;11.2;6
Vino_1515;7.4;0.19;9.3;0.03;132.0;0.994;11.0;7
Vino_1516;7.3;0.155;1.3;0.039;136.0;0.9926;10.5;6
Vino_1517;8.2;0.22;9.6;0.037;154.0;0.9951;10.6;6
Vino_1518;8.2;0.24;9.3;0.038;163.0;0.9952;10.6;6
Vino_1519;8.4;0.23;7.8;0.035;95.0;0.9935;12.0;6
Vino_1520;8.3;0.2;1.7;0.04;169.0;0.9938;10.1;5
Vino_1521;8.3;0.2;1.7;0.038;167.0;0.9939;10.1;6
Vino_1522;6.6;0.3;1.2;0.034;121.0;0.9933;9.2;5
Vino_1523;6.9;0.21;1.4;0.041;164.0;0.9927;11.0;5
Vino_1524;8.0;0.25;9.0;0.044;185.0;0.998;10.0;6
Vino_1525;6.6;0.21;18.15;0.042;158.0;0.9997;8.7;6
Vino_1526;7.2;0.27;12.5;0.037;156.0;0.9981;8.7;5
Vino_1527;14.2;0.27;1.1;0.037;156.0;0.992;11.1;6
Vino_1528;7.9;0.28;7.7;0.045;195.0;0.9954;11.0;6
Vino_1529;7.4;0.27;1.1;0.037;156.0;0.992;11.1;6
Vino_1530;6.6;0.21;18.15;0.042;158.0;0.9997;8.7;6
Vino_1531;7.2;0.27;12.5;0.037;156.0;0.9981;8.7;5
Vino_1532;8.1;0.3;8.1;0.037;174.0;0.9943;11.2;7
Vino_1533;7.5;0.23;7.7;0.049;209.0;0.9941;11.1;7
Vino_1534;7.3;0.26;5.0;0.028;107.0;0.9936;10.8;6
Vino_1535;7.1;0.18;15.6;0.044;176.0;0.9996;9.0;6
Vino_1536;8.5;0.15;1.5;0.031;122.0;0.9932;10.3;6
Vino_1537;8.9;0.13;1.0;0.028;24.0;0.9926;9.9;5
Vino_1538;8.1;0.28;1.0;0.04;148.0;0.9936;10.0;6
Vino_1539;6.0;0.17;1.0;0.034;106.0;0.992;9.8;6
Vino_1540;7.3;0.26;5.0;0.028;107.0;0.9936;10.8;6
Vino_1541;7.1;0.18;15.6;0.044;176.0;0.9996;9.0;6
Vino_1542;7.1;0.53;0.8;0.029;86.0;0.993;9.1;4
Vino_1543;7.2;0.16;1.3;0.037;104.0;0.9924;10.6;6
Vino_1544;7.3;0.14;1.1;0.038;99.0;0.9928;10.6;6
Vino_1545;8.9;0.13;1.0;0.028;24.0;0.9926;9.9;5
Vino_1546;7.9;0.12;5.2;0.049;152.0;0.9952;10.6;6
Vino_1547;6.7;0.29;4.7;0.034;156.0;0.9945;9.9;6
Vino_1548;6.7;0.3;4.8;0.034;158.0;0.9945;9.9;6
Vino_1549;7.1;0.36;1.8;0.025;102.0;0.9903;12.8;6
Vino_1550;8.5;0.15;1.5;0.031;122.0;0.9932;10.3;6
Vino_1551;7.9;0.18;5.2;0.051;157.0;0.9953;10.6;6
Vino_1552;6.6;0.19;1.2;0.122;129.0;0.9936;8.7;6
Vino_1553;7.3;0.21;1.8;0.038;152.0;0.9912;12.6;7
Vino_1554;6.9;0.3;7.6;0.057;156.0;0.9962;11.0;7
Vino_1555;7.9;0.42;8.2;0.056;164.0;0.9965;11.2;7
Vino_1556;6.9;0.24;1.3;0.032;148.0;0.9932;10.7;7
Vino_1557;7.6;0.23;10.0;0.036;182.0;0.9967;9.6;6
Vino_1558;7.9;0.18;5.2;0.051;157.0;0.9953;10.6;6
Vino_1559;6.2;0.43;6.4;0.045;115.0;0.9963;9.0;4
Vino_1560;8.8;0.35;1.0;0.036;56.0;0.992;10.5;4
Vino_1561;7.8;0.3;1.8;0.033;156.0;0.991;12.8;6
Vino_1562;9.1;0.28;2.0;0.059;112.0;0.9958;10.1;5
Vino_1563;7.1;0.34;1.5;0.027;126.0;0.99;12.2;7
Vino_1564;7.8;0.3;1.8;0.033;156.0;0.991;12.8;6
Vino_1565;9.1;0.28;2.0;0.059;112.0;0.9958;10.1;5
Vino_1566;8.5;0.19;3.5;0.044;117.0;0.9938;10.1;6
Vino_1567;7.6;0.18;18.05;0.046;158.0;0.9996;9.2;5
Vino_1568;7.5;0.19;1.8;0.055;110.0;0.9946;9.9;5
Vino_1569;7.4;0.3;8.2;0.055;188.0;0.9974;9.7;6
Vino_1570;6.7;0.3;5.0;0.038;157.0;0.9945;9.9;5
Vino_1571;6.6;0.3;4.6;0.041;159.0;0.9946;9.9;5
Vino_1572;7.4;0.3;8.2;0.055;188.0;0.9974;9.7;6
Vino_1573;6.9;0.22;7.0;0.063;168.0;0.9957;10.3;6
Vino_1574;7.8;0.26;3.1;0.045;116.0;0.9931;10.3;5
Vino_1575;8.5;0.17;8.8;0.048;108.0;0.9947;10.5;4
Vino_1576;6.8;0.17;2.4;0.053;182.0;0.9953;10.5;6
Vino_1577;6.2;0.27;1.4;0.05;74.0;0.9931;9.8;6
Vino_1578;7.1;0.64;1.8;0.05;128.0;0.9946;10.6;4
Vino_1579;6.4;0.18;11.9;0.046;168.0;0.9978;10.1;5
Vino_1580;7.6;0.31;13.4;0.062;191.0;0.9989;9.0;4
Vino_1581;9.8;0.31;15.4;0.046;119.0;1.0004;9.5;5
Vino_1582;9.0;0.3;7.2;0.039;84.0;0.9938;11.5;6
Vino_1583;8.4;0.24;7.4;0.039;108.0;0.9934;11.9;7
Vino_1584;6.4;0.18;11.9;0.046;168.0;0.9978;10.1;5
Vino_1585;6.4;0.25;7.8;0.045;209.0;0.9956;9.2;6
Vino_1586;7.3;0.3;13.5;0.039;165.0;0.9982;8.7;5
Vino_1587;9.3;0.31;1.3;0.042;147.0;0.9948;9.8;5
Vino_1588;6.4;0.25;7.8;0.045;209.0;0.9956;9.2;6
Vino_1589;7.3;0.3;13.5;0.039;165.0;0.9982;8.7;5
Vino_1590;7.0;0.27;1.5;0.036;122.0;0.9926;11.2;6
Vino_1591;7.9;0.14;1.2;0.028;165.0;0.991;12.3;6
Vino_1592;6.4;0.12;6.4;0.042;161.0;0.9945;10.4;6
Vino_1593;6.8;0.21;1.2;0.047;111.0;0.9916;10.7;6
Vino_1594;8.6;0.16;7.3;0.043;63.0;0.9953;10.5;6
Vino_1595;7.0;0.29;3.8;0.047;136.0;0.9938;9.4;6
Vino_1596;6.4;0.27;7.3;0.046;206.0;0.9956;9.2;6
Vino_1597;6.6;0.55;2.7;0.034;122.0;0.9906;11.9;5
Vino_1598;6.4;0.27;7.3;0.046;206.0;0.9956;9.2;6
Vino_1599;6.3;0.24;1.4;0.172;108.0;0.9932;9.9;6
Vino_1600;6.7;0.33;1.6;0.167;94.0;0.9914;11.4;6
Vino_1601;7.0;0.29;3.8;0.047;136.0;0.9938;9.4;6
Vino_1602;8.2;0.34;8.0;0.046;223.0;0.996;10.7;6
Vino_1603;5.6;0.39;4.7;0.034;77.0;0.9906;12.7;5
Vino_1604;5.6;0.41;1.9;0.034;53.0;0.98815;13.5;7
Vino_1605;6.7;0.41;2.8;0.048;137.0;0.9942;9.5;5
Vino_1606;7.1;0.26;2.2;0.032;113.0;0.9903;12.9;9
Vino_1607;7.5;0.32;1.7;0.031;109.0;0.9906;12.5;6
Vino_1608;5.8;0.19;4.9;0.04;118.0;0.9935;9.5;7
Vino_1609;6.9;0.27;23.5;0.057;235.0;1.0024;8.6;5
Vino_1610;8.1;0.2;11.8;0.048;212.0;0.9968;10.0;7
Vino_1611;7.5;0.32;1.7;0.031;109.0;0.9906;12.5;6
Vino_1612;8.2;0.26;5.2;0.04;100.0;0.9941;10.1;6
Vino_1613;7.8;0.26;3.2;0.027;87.0;0.9919;11.3;7
Vino_1614;8.0;0.14;1.5;0.035;120.0;0.9928;10.6;7
Vino_1615;8.0;0.29;11.7;0.035;131.0;0.9958;10.8;5
Vino_1616;7.5;0.19;1.6;0.047;140.0;0.9932;10.7;6
Vino_1617;6.9;0.34;7.3;0.045;206.0;0.9957;9.0;6
Vino_1618;6.2;0.2;1.6;0.065;143.0;0.9937;9.2;6
Vino_1619;6.4;0.37;13.3;0.045;243.0;0.9982;8.5;6
Vino_1620;6.2;0.22;6.0;0.029;128.0;0.9928;11.3;8
Vino_1621;7.8;0.26;3.2;0.027;87.0;0.9919;11.3;7
Vino_1622;8.9;0.32;1.6;0.05;131.0;0.9956;9.4;5
Vino_1623;6.5;0.44;7.7;0.045;169.0;0.9957;8.7;6
Vino_1624;7.0;0.14;5.9;0.053;118.0;0.9954;9.4;6
Vino_1625;9.0;0.17;1.0;0.039;131.0;0.993;10.5;7
Vino_1626;6.4;0.26;6.4;0.037;161.0;0.9954;9.7;6
Vino_1627;9.0;0.22;10.4;0.048;195.0;0.9987;10.2;6
Vino_1628;8.9;0.32;1.6;0.05;131.0;0.9956;9.4;5
Vino_1629;8.2;0.2;3.5;0.057;108.0;0.9928;11.5;6
Vino_1630;7.8;0.15;7.7;0.047;98.0;0.9951;9.6;6
Vino_1631;6.9;0.25;1.8;0.053;121.0;0.993;11.4;5
Vino_1632;8.2;0.2;3.5;0.057;108.0;0.9928;11.5;6
Vino_1633;7.1;0.28;6.5;0.041;111.0;0.9926;12.2;8
Vino_1634;7.4;0.19;6.7;0.037;110.0;0.9938;11.0;7
Vino_1635;8.3;0.25;16.8;0.048;228.0;1.0001;9.2;6
Vino_1636;7.5;0.14;1.6;0.035;126.0;0.9933;10.2;6
Vino_1637;7.8;0.49;7.0;0.043;149.0;0.9952;10.0;5
